minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6138866398761428,32.56397721909033,15.228722459922896,38.503255247302334,10.636476095712641,20.7931113463733,12.684761828485057,1802.258290252228
0,Marvin the Martian,0.6092200371549911,29.859303557216062,14.374530774883057,33.796152551625525,6.826138108460399,27.775288767650608,11.15613843850447,1636.3484954654325
0,Road Runner,0.6167642614948581,30.7487054130331,13.636822616383377,38.61414436680903,7.339015045737105,27.213025514701982,12.843116985585187,1683.601162252405
0,Foghorn Leghorn,0.6282977188958754,28.825466526471953,14.667099409640453,36.60984786857359,8.19378000180519,15.567270473985214,15.518778804010939,1590.362866550521
0,Bugs Bunny,0.6250023529662194,30.646198358765517,14.781645254307033,32.855592148064034,4.614935461458982,18.913886082062103,15.086117025787294,1689.2989752965832
0,Elmer Fudd,0.6179038665099287,31.298408695400262,16.572681331579382,38.168619356666355,5.533306483183546,24.264774552724393,16.147576237572718,1719.5688437445
0,Lola Bunny,0.6389971131182195,34.04465509217018,14.919190847182616,38.42812387269592,3.6719658370443833,18.471122489733677,16.493470488937298,1870.0649316825807
0,Porky Pig,0.6193115261617659,31.08647411328131,16.20626783421428,37.19103547491266,4.124279595645382,15.706785447469716,13.432111517716192,1714.478815924366
0,Tasmanian Devil,0.6103142135234262,23.25657710544774,14.754570340809114,36.4264328459354,4.943659476988103,23.217376519530255,10.402025191032298,1262.8525962687288
0,Gossamer,0.6145186077144495,34.082692410868574,14.241195701794236,36.45679307082453,5.028341168881108,14.219735724576505,12.236702093630143,1880.9487183994333
0,Granny,0.602945717948234,30.775500956243654,14.446686290517595,35.11037740583286,5.579901793774044,21.468391464275815,11.353298056119971,1694.4053745196497
0,Wile E. Coyote,0.6206575604969742,30.21933403525706,15.000915199665277,33.58586901444703,6.297201066465288,22.04518347411143,16.13891611887192,1662.0577832508957
0,Tweety,0.6139701011111904,28.531529209586243,13.301181508445687,35.95219866407981,5.809758540754842,26.543316315144068,11.612574959034122,1565.1601242800843
0,Penelope,0.5988721103174298,27.744761730916974,14.744692852486631,28.158567956737066,8.650027958617665,20.260168895420534,11.491954379774604,1515.9493083117934
0,Daffy Duck,0.6253520637790837,33.68021867564069,14.800181138815882,32.537330854861914,6.088130300135573,17.54407434229405,12.939019615532837,1848.3864948566886
12,Sylvester,0.6158636255854739,31.426398621536546,14.20225288840086,37.15088686099384,8.061472147255989,17.58976426427414,13.634261564800342,1731.901035350904
12,Marvin the Martian,0.5964057020028248,28.81536333998251,16.198764304650823,30.27263393370767,8.274680682972853,21.81422221099572,13.824211188327249,1574.006871076412
12,Road Runner,0.6275780887533982,30.868859748776643,14.43494614986711,35.28561910390802,6.820460148647877,33.43872341837829,12.23500627836483,1682.7988510278626
12,Foghorn Leghorn,0.6065909241244877,32.941187094296616,14.763846369083305,31.80932861531314,5.6109955508367335,22.456517414872422,13.606727260980362,1820.110743036843
12,Bugs Bunny,0.6433300574076405,33.625902467508155,16.831669081184298,34.31643982927428,6.7458466749168835,22.585394116711758,13.67008347843142,1852.3098833225708
